number,course_id,question_type,question_text,option_a,option_b,option_c,option_d,option_e,correct_answers,explanation,is_active
546,206,single,"An organization is shifting to a remote workforce In preparation the IT department is
performing stress and capacity testing of remote access infrastructure and systems What
type of control is being implemented?",Directive,Detective,Preventive,Compensating,,C,"An organization is shifting to a remote workforce. In preparation, the IT department is
performing stress and capacity testing of remote access infrastructure and systems. This
type of control is being implemented to direct or guide actions to achieve a desired

outcome. Therefore, it is a directive control. Directive controls are proactive controls that
seek to prevent undesirable events from occurring. They include policies, standards,
procedures, guidelines, training, and testing. Detective controls are reactive controls that
seek to identify undesirable events that have already occurred. They include monitoring,
logging, auditing, and reporting. Preventive controls are proactive controls that seek to
avoid undesirable events from occurring. They include authentication, encryption, firewalls,
and antivirus software. Compensating controls are alternative controls that provide a similar
level of protection as the primary controls when the primary controls are not feasible or
cost-effective. They include segregation of duties, manual reviews, and backup
systems. References: CISA Review Manual (Digital Version), [ISACA Glossary of Terms]",True
547,206,single,"An IS auditor identifies that a legacy application to be decommissioned in three months
cannot meet the security requirements established by the current policy. What is the BEST
way (or the auditor to address this issue?",Recommend the application be patched to meet requirements.,Inform the IT director of the policy noncompliance.,Verify management has approved a policy exception to accept the risk.,Take no action since the application will be decommissioned in three months.,,C,"The best way for the auditor to address this issue is to verify management has approved a
policy exception to accept the risk. A policy exception is a formal authorization that allows a
deviation from the established policy requirements for a specific situation or period of time.
A policy exception should be based on a risk assessment that evaluates the impact and
likelihood of the potential threats and vulnerabilities, as well as the cost and benefit of the
alternative controls. A policy exception should also be documented, approved, and
monitored by management.
Recommending the application be patched to meet requirements is not the best way for the
auditor to address this issue. Patching the application may not be feasible, cost-effective,
or timely, given that the application will be decommissioned in three months. Patching the
application may also introduce new risks or errors that could affect the functionality or
performance of the application.
Informing the IT director of the policy noncompliance is not the best way for the auditor to
address this issue. Informing the IT director of the policy noncompliance may not resolve

the issue or mitigate the risk, especially if the IT director is already aware of the situation
and has decided to accept it. Informing the IT director of the policy noncompliance may
also create unnecessary conflict or tension between the auditor and the auditee.
Taking no action since the application will be decommissioned in three months is not the
best way for the auditor to address this issue. Taking no action may expose the
organization to significant risks or consequences, such as data breaches, regulatory fines,
or reputational damage, if the application is compromised or exploited by malicious actors.
Taking no action may also violate the auditor’s professional standards and responsibilities,
such as due care, objectivity, and reporting.
References:
ISACA, CISA Review Manual, 27th Edition, 2019, p. 289
ISACA, CISA Review Questions, Answers & Explanations Database - 12 Month
Subscription
Cybersecurity Engineering for Legacy Systems: 6 Recommendations - SEI Blog
How to Secure Your Company’s Legacy Applications - iCorps",True
548,206,single,The use of control totals satisfies which of the following control objectives?,Transaction integrity,Processing integrity,Distribution control,System recoverability,,B,"The use of control totals satisfies the control objective of processing integrity. Processing
integrity refers to the accuracy, completeness, timeliness, and validity of data processing.
Control totals are a method of verifying the correctness of data processing by comparing
the total value or count of a batch of transactions before and after processing. For example,
if a batch of 100 invoices is entered into an accounting system, the total amount and
number of invoices should match before and after processing. If there is a discrepancy, it
indicates an error in data entry, transmission, or processing. Control totals help to ensure
that no transactions are lost, duplicated, or altered during processing.

References:
Control Objectives & Activities: Examples, Appropriateness
Levels and Types of Control | Principles ofManagement
CISA Review Manual 27th Edition, page 337",True
549,206,single,"As part of business continuity planning, which of the following is MOST important to assess
when conducting a business impact analysis (B1A)?",Risk appetite,Critical applications m the cloud,Completeness of critical asset inventory,Recovery scenarios,,C,"The most important thing to assess when conducting a business impact analysis (BIA) is
the completeness of critical asset inventory. This is because the critical asset inventory is
the basis for identifying and prioritizing the business processes, functions, and resources
that are essential for thecontinuity of operations. The critical asset inventory should include
both tangible and intangible assets, such as hardware, software, data, personnel, facilities,
contracts, and reputation. The critical asset inventory should also be updated regularly to
reflect any changes in the business environment or needs. References:
CISA Review Manual (Digital Version), Chapter 5, Section 5.41
CISA Online Review Course, Domain 3, Module 3, Lesson 12",True
550,206,single,"Which of the following provides an IS auditor assurance that the interface between a point-
of-sale (POS) system and the general ledger is transferring sales data completely and
accurately?",Electronic copies of customer sales receipts are maintained.,Monthly bank statements are reconciled without exception.,Nightly batch processing has been replaced with real-time processing.,The data transferred over the POS interface is encrypted.,,A,"The best option to provide an IS auditor assurance that the interface between a point-of-
sale (POS) system and the general ledger is transferring sales data completely and
accurately is A. Electronic copies of customer sales receipts are maintained. Electronic
copies of customer sales receipts are records of the transactions that occurred at the POS
system, which can be compared with the data transferred to the general ledger. This can
help detect any errors, omissions, or discrepancies in the data transfer process and ensure
that the sales data is complete and accurate.
The other options are not as effective as A in providing assurance that the interface
between the POS system and the general ledger is transferring sales data completely and
accurately. B. Monthly bank statements are reconciled without exception. Monthly bank
statements are records of the cash inflows and outflows of the organization, which may not
match with the sales data recorded by the POS system and the general ledger. For
example, there may be delays, discounts, returns, or refundsthat affect the cash flow but
not the sales revenue. Therefore, reconciling monthly bank statements without exception
does not necessarily mean that the sales data is complete and accurate. C. Nightly batch
processing has been replaced with real-time processing. Nightly batch processing is a
method of transferring data from the POS system to the general ledger in batches at a
scheduled time, usually at night. Real-time processing is a method of transferring data from
the POS system to the general ledger as soon as the transactions occur. Real-time
processing may improve the timeliness and efficiency of the data transfer process, but it
does not guarantee that the sales data is complete and accurate. There may still be errors,
omissions, or discrepancies in the data transfer process that need to be detected and
corrected. D. The data transferred over the POS interface is encrypted. Encryption is a
process of transforming data into an unreadable form using a secret key or algorithm, so
that only authorized parties can access the original data. Encryption protects the
confidentiality and security of the data transferred over the POS interface, but it does not
ensure that the sales data is complete and accurate. There may still be errors, omissions,
or discrepancies in the data transfer process that need to be detected and corrected.
References:
ISACA, CISA Review Manual, 27th Edition, 2019, p. 2471
ISACA, CISA Review Questions, Answers & Explanations Database - 12 Month
Subscription2
Sales Audit Overview - Oracle3

Notes on Audit of Ledgers - Guidelines to Auditors - Accountlearning",True
551,206,single,Which of the following is the MOST appropriate control to ensure integrity of online orders?,Data Encryption Standard (DES),Digital signature,Public key encryption,Multi-factor authentication,,B,"A digital signature is the most appropriate control to ensure integrity of online orders
because it provides a way to verify the authenticity and integrity of the data sent by the
sender. A digital signature is created by applying a cryptographic algorithm to the data and
attaching the result to the data. The receiver can then use the sender’s public key to verify
that the data has not been altered or tampered with during transmission. A digital signature
also provides non-repudiation, which means that the sender cannot deny sending the data.
Data Encryption Standard (DES) is a symmetric encryption algorithm that can provide
confidentiality of online orders, but not integrity. DES uses the same key to encrypt and
decrypt the data, which means that anyone who has the key can modify the data without
detection.
Public key encryption is an asymmetric encryption algorithm that can also provide
confidentiality of online orders, but not integrity. Public key encryption uses a pair of keys: a
public key and a private key. The sender encrypts the data with the receiver’s public key,
and the receiver decrypts it with their own private key. However, public key encryption does
not prevent anyone from modifying the encrypted data.
Multi-factor authentication is a control that can provide authentication and authorization of
online orders, but not integrity. Multi-factor authentication requires the user to provide two
or more pieces of evidence to prove their identity, such as a password, a token, or a
biometric factor. Multi-factor authentication can prevent unauthorized access to online
orders, but it does not protect the data from being modified after being sent.
References:
ISACA, CISA Review Manual, 27th Edition, 2019, p. 281 1
ISACA, CISA Review Questions, Answers & Explanations Database - 12
MonthSubscription 2",True
552,206,single,"A programmer has made unauthorized changes lo key fields in a payroll system report.
Which of the following control weaknesses would have contributed MOST to this problem?",The programmer did not involve the user in testing,The user requirements were not documented,The programmer has access to the production programs,Payroll files were not under the control of a librarian,,C,"The programmer having access to the production programs is a control weakness that
would have contributed most to the problem of unauthorized changes to key fields in a
payroll system report. This is because it violates the principle of segregation of duties,
which requires that different individuals or groups perform different functions related to
system development, testing, implementation, and operation. Allowing programmers to
access production programs increases the risk of errors, fraud, or malicious actions that
may compromise the integrity, availability, or confidentiality of the system or its data. The
other options are not as significant as having access to production programs, as they relate
to other aspects of system development or maintenance, such as user involvement in
testing (which affects user satisfaction and acceptance), user requirements documentation
(which affects system functionalityand quality), and payroll files control (which affects data
security and accuracy). References: CISA Review Manual (Digital Version), Domain 3:
Information Systems Acquisition, Development and Implementation, Section 3.2 Project
Management Practices",True
553,206,single,Which of the following is the MOST important outcome of an information security program?,Operating system weaknesses are more easily identified.,Emerging security technologies are better understood and accepted.,The cost to mitigate information security risk is reduced.,Organizational awareness of security responsibilities is improved.,,D,"The most importantoutcome of an information security program is to improve the
organizational awareness of security responsibilities, as this will foster a culture of security
and ensure that all stakeholders are aware of their roles and obligations in protecting the
information assets of the organization. An information security program should also aimto
achieve other outcomes, such as identifying operating system weaknesses, understanding
and accepting emerging security technologies, and reducing the cost to mitigate
information security risk, but these are not as important as improving the awareness of
security responsibilities, which is the foundation of any effective information security
program. *References: According to the ISACA IT Audit and Assurance Standards,
Guidelines and Tools and Techniques for IS Audit and Assurance Professionals, section
2402 Planning, “The IS audit and assurance professional should identify and assess risk
relevant to the area under review.” 1 One of the risk factors to consider is “the level of
awareness of management and staff regarding IT risk management” 1. According to the
ISACAIT Audit and Assurance Guideline G13 Information Security Management, “The
objective of an information security management audit/assurancereview is to provide
management with an independent assessment relating to the effectiveness of information
security management within the enterprise.” The guideline also states that “the
audit/assurance professional should evaluate whether there is an appropriate level of
awareness throughout the enterprise regarding information security policies, standards,
procedures and guidelines.” According to a web search result from Microsoft Security,
“Information security programs need to: … Support the execution of decisions.” 2 One of
the ways to support the execution of decisions is to ensure that everyone in the
organization understands their security responsibilities and follows the security policies and
procedures.",True
554,206,single,"Which of the following is the PRIMARY advantage of using virtualization technology for
corporate applications?",Stronger data security,Better utilization of resources,Increased application performance,Improved disaster recovery,,B,"The primary advantage of using virtualization technology for corporate applications is to
achieve better utilization of resources, such as hardware, software, network and storage.
Virtualization technology allows multiple applications to run on a single physical server or
device, which reduces the need for additional hardware and maintenance costs.
Virtualization technology also enables dynamic allocation and reallocation of resources
according to the demand and priority of the applications, which improves efficiency and
flexibility. The other options are not the primary advantage of using virtualization
technology, although they may be some of the benefits or challenges depending on the
implementation and configuration. References:
ISACA, CISA Review Manual, 27th Edition, chapter 4, section 4.21
ISACA, COBIT 2019 Framework: Introduction and Methodology, section 3.23",True
555,206,single,"When planning an audit, it is acceptable for an IS auditor to rely on a third-party provider’s
external audit report on service level management when the",scope and methodology meet audit requirements,service provider is independently certified and accredited,report confirms that service levels were not violated,report was released within the last 12 months,,A,"It is acceptable for an IS auditor to rely on a third-party provider’s external audit report on
service level management when the scope and methodology meet audit requirements. This
means that the external audit report covers the same objectives, criteria, standards and
procedures that the IS auditor would use to assess the service level management. This
way, the IS auditor can avoid duplication of work and reduce audit costs and efforts. The
service provider’s certification and accreditation, the report’s confirmation of service levels
and the report’s release date are not sufficient to justify reliance on the external audit
report. References: CISA Review Manual (Digital Version) , Chapter 2, Section 2.3.3.",True
556,206,single,"To mitigate the risk of exposing data through application programming interface (API)
queries. which of the following design considerations is MOST important?",Data retention,Data minimization,Data quality,Data integrity,,B,"The answer B is correct because data minimization is the most important design
consideration to mitigate the risk of exposing data through application programming
interface (API) queries. An API is a set of rules and protocols that allows different software
components or systems to communicate and exchange data. API queries are requests sent
by users or applications to an API to retrieve or manipulate data. For example, a user may
query an API to get information about a product, a service, or a location.
Data minimization is the principle of collecting, processing, and storing only the minimum
amount of data that are necessary for a specific purpose. Data minimization can help to
reduce the risk of exposing data through API queries by limiting the amount and type of
data that are available or accessible through the API. Data minimization can also help to
protect the privacy and security of the data subjects and the data providers, as well as to
comply with the relevant laws and regulations.
Some of the benefits of data minimization for API design are:
Privacy: Data minimization can enhance the privacy of the data subjects by
ensuring that only the data that are relevant and essential for the API purpose are
collected and processed. This can prevent unnecessary or excessive collection or
disclosure of personal or sensitive data, such as names, addresses, phone
numbers, email addresses, etc. Data minimization can also help to comply with the
privacy laws and regulations that require data protection by design and by default,
such as GDPR (General Data Protection Regulation) or CCPA (California
Consumer Privacy Act).
Security: Data minimization can improve the security of the data providers by
reducing the attack surface and the potential damage of a data breach. If less data
are stored or transmitted through the API, there are fewer opportunities for
attackers to access or compromise the data. Data minimization can also help to
implement security controls such as encryption, access control, or logging more
efficiently and effectively.
Performance: Data minimization can increase the performance of the API by

optimizing the use of resources and bandwidth. If less data are stored or
transmitted through the API, there are less storage space and network traffic
required. Data minimization can also help to improve the speed and reliability of
the API responses.
Some of the techniques for data minimization in API design are:
Define clear and specific purposes for the API and document them in the API
specification or documentation.
Identify and classify the data that are needed for each purpose and assign them
appropriate labels or levels, such as public, internal, confidential, or restricted.
Implement filters or parameters in the API queries that allow users or applications
to specify or limit the data fields or attributes they want to retrieve or manipulate.
Use pagination or throttling in the API responses that limit the number or size of
data items returned per request.
Use anonymization or pseudonymization techniques that remove or replace any
identifying information from the data before sending them through the API.
Some examples of web resources that discuss data minimization in API design are:
Data Minimization in Web APIs - World Wide Web Consortium (W3C)
Adding Privacy by Design in Secure Application Development
Chung-ju/Data-Minimization: A repository of related papers. - GitHub",True
557,206,single,"Which of the following is the PRIMARY reason for an IS audit manager to review the work
performed by a senior IS auditor prior to presentation of a report?",To ensure the conclusions are adequately supported,To ensure adequate sampling methods were used during fieldwork,To ensure the work is properly documented and filed,To ensure the work is conducted according to industry standards,,A,"The primary reason for an IS audit manager to review the work performed by a senior IS
auditor prior to presentation of a report is to ensure the conclusions are adequately
supported. The IS audit manager is responsible for overseeing and supervising the audit
process, ensuring the quality and consistency of the audit work, and approving the audit
report and recommendations. The IS audit manager should review the work performed by
the senior IS auditor to verify that the audit objectives, scope, and criteria have been met,
that the audit evidence is sufficient, reliable, and relevant, and that the audit conclusions

are logical, objective, and based on the audit evidence. The IS audit manager should also
ensure that the audit report is clear, concise, accurate, and complete, and that it
communicates the audit findings, conclusions, and recommendations effectively to the
intended audience. The other options are not the primary reason for an IS audit manager to
reviewthe work performed by a seniorIS auditor prior to presentation of a report, because
they either relate to specific aspects or stages of the audit work rather than the overall
outcome, or they are part of the senior IS auditor’s responsibility rather thanthe IS audit
manager’s. References: CISA Review Manual (Digital Version)1, Chapter 2, Section 2.2.5",True
558,206,single,"Which of the following provides the MOST useful information for performing a business
impact analysis (B1A)?",inventory of relevant business processes,Policies for business procurement,Documentation of application configurations,Results of business resumption planning efforts,,A,"A business impact analysis (BIA) is a process that identifies and evaluates the potential
effects of disruptions to critical business operations as a result of a disaster, accident or
emergency. A BIA should include an inventory of relevant business processes that support
the organization’s strategic objectives and are essential for its continuity. The inventory
should also identify the dependencies, interdependencies, recovery priorities and time
frames for each business process. Policies for business procurement, documentation of
application configurations and results of business resumption planning efforts are not as
useful as an inventory of relevant business processes for performing a BIA. References:
: Business Impact Analysis (BIA) Definition
: Business Impact Analysis (BIA) | ISACA",True
559,206,single,"Which of the following methods BEST enforces data leakage prevention in a multi-tenant
cloud environment?",Monitoring tools are configured to alert in case of downtime,A comprehensive security review is performed every quarter.,Data for different tenants is segregated by database schema,Tenants are required to implement data classification polices,,D,"Data leakage prevention (DLP) is the process of preventing unauthorized access,
disclosure, or transfer of sensitive data. In a multi-tenant cloud environment, where multiple
customers share the same infrastructure and resources, DLP is a critical challenge. One of
the best methods to enforce DLP in such an environment is to require tenants to implement
data classification policies. Data classification policies define the types and levels of
sensitivity of data, and the corresponding security controls and measures to protect them.
By implementing data classification policies, tenants can ensure that their data is properly
labeled, encrypted, segregated, and monitored according to their specific requirements and
compliance standards. This can help prevent data leakage from accidental or malicious
actions by other tenants, cloud service providers, or external parties.
References:
2: How Do I Secure my Data in a Multi-Tenant Cloud Environment? | Thales
3: Protecting Sensitive Customer Data in a Cloud-Based Multi-Tenant Environment
| Saturn Cloud
4: Microsoft 365 isolation controls - Microsoft Service Assurance",True
560,206,single,"An IS auditor learns a server administration team regularly applies workarounds to address
repeated failures of critical data processing services Which of the following would BEST
enable the organization to resolve this issue?",Problem management,Incident management,Service level management,Change management,,A,"Problem management is the best way to enable the organization to resolve the issue of
repeated failures of critical data processing services, as it focuses on identifying and
eliminating the root causes of incidents and preventing their recurrence. Problem
management involves analyzing incidents, performing root cause analysis, finding
solutions, implementing changes and documenting lessons learned. Incident management
is not the best way to resolve the issue, as it focuses on restoring normal service operation
as quickly as possible after an incident occurs, but does not address the underlying causes
or prevent future incidents. Service level management is not the best way to resolve the
issue, as it focuses on defining, monitoring and reporting on the service levels agreed upon
between service providers and customers, but does not address the causes or solutions of
incidents. Change management is not the best way to resolve the issue, as it focuses on
ensuring that changes are implemented in a controlled and coordinated manner, but does
not address the identification or elimination of incidents. References:
: [Problem Management Definition]
: [Incident Management Definition]
: [Service Level Management Definition]
: [Change Management Definition]
: IT Service Management | ISACA",True
561,206,single,"Which of the following is the BEST methodology to use for estimating the complexity of
developing a large business application?",Function point analysis,Work breakdown structure,Critical path analysts,Software cost estimation,,A,"Function point analysis (FPA) is the best methodology to use for estimating the complexity
of developing a large business application. FPA is a technique that measures the
functionality of a software system based on the user requirements and the business
processes that the system supports. FPA assigns a numerical value to each function or
feature of the system, based on its type, complexity, and relative size. The total number of

function points represents the size and complexity of the system, which can be used to
estimate the development effort, cost, and time.
FPA has several advantages over other estimation methods, such as:
It is independent of the technology, programming language, or development
methodology used for the system. Therefore, it can be applied consistently across
different platforms and environments.
It is based on the user perspective and the business value of the system, rather
than the technical details or implementation aspects. Therefore, it can be
performed early in the project life cycle, before the design or coding phases.
It is objective and standardized, as it follows a set of rules and guidelines defined
by the International Function Point Users Group (IFPUG). Therefore, it can reduce
ambiguity and improve accuracy and reliability of the estimates.
It is adaptable and scalable, as it can handle changes in the user requirements or
the system scope. Therefore, it can support agile and iterative development
approaches.
References:
1: Function Point Analysis – Introduction and Fundamentals
2: Software Engineering | Functional Point (FP) Analysis",True
562,206,single,Which of the following is the MAJOR advantage of automating internal controls?,To enable the review of large value transactions,To efficiently test large volumes of data,To help identity transactions with no segregation of duties,To assist in performing analytical reviews,,B,"The major advantage of automating internal controls is to efficiently test large volumes of
data, because automated controls can perform repetitive tasks faster, more accurately, and
more consistently than manual controls. Automated controls can also provide audit trails
and exception reports that facilitate the monitoring and evaluationof the control
effectiveness12. Reviewing large value transactions, identifying transactions with no
segregation of duties, and performing analytical reviews are possible benefits of
automating internal controls, but not the major advantage. References: 1: CISA Review
Manual (Digital Version), Chapter 5, Section 5.2.2 2: CISA Online Review Course, Module
5, Lesson 2",True
563,206,single,"Which of the following should be the GREATEST concern to an IS auditor reviewing an
organization's method to transport sensitive data between offices?",The method relies exclusively on the use of asymmetric encryption algorithms.,The method relies exclusively on the use of 128-bit encryption.,The method relies exclusively on the use of digital signatures.,The method relies exclusively on the use of public key infrastructure (PKI).,,D,"The greatest concern to an IS auditor reviewing an organization’s method to transport
sensitive data between offices is that the method relies exclusively on the use of public key
infrastructure (PKI). PKI is a set of tools and procedures that are used to create, manage,
and revoke digital certificates and public keys for encryption and authentication1. PKI can
provide secure and trustworthy communication over the internet, but it also has some
limitations and risks that need to be considered.
One ofthe main limitations of PKI is that it depends on the trustworthiness and security of
the certificate authority (CA), which is the entity that issues and verifies the
digitalcertificates2. If the CA is compromised or malicious, it can issue fake or fraudulent
certificates that can be used to impersonate legitimate parties or intercept sensitive
data. For example, in 2011, a hacker breached the CA DigiNotar and issued hundreds of
rogue certificates for domains such as Google,Yahoo, and Microsoft3. This allowed the
hacker to conduct man-in-the-middle attacks and spy on the online activities of users in
Iran3.
Another limitation of PKI is that it requires a complex and costly infrastructure to maintain
and operate. PKI involves multiple components, such as servers, software, hardware,
policies, and procedures, that need to be configured, updated, and monitored
regularly1. PKI also requires a high level of technical expertise and coordination among
different parties, such as users, administrators, CAs,and registration authorities (RAs)1.
PKI can be vulnerable to human errors or negligence that can compromise its security or
functionality. For example, in 2018, a software bug in Apple’s macOS High Sierra caused
the system to accept any certificate as valid without checking its validity period. This could
have allowed attackers to use expired or revoked certificates to bypass security checks.
Therefore, an IS auditor should be concerned if an organization relies exclusively on PKI
for transporting sensitive data between offices. PKI can provide a high level of security and
trust, but it also has some inherent risks and challenges that need to be addressed. An IS

auditor should evaluate whether the organization has implemented adequate controls and
measures to ensure the reliability and integrity of its PKI system. An IS auditor should also
consider whether the organization has alternative or complementary methods for securing
its data transmission, such as using symmetric encryption algorithms or digital
signatures. Symmetric encryption algorithms use the same key for both encryption and
decryption, which can offer faster performance and lower overhead than asymmetric
encryption algorithms used by PKI4. Digital signatures use cryptographic techniques to
verify the identity and authenticity of the sender and the integrity of the data5.",True
564,206,single,"An IS auditor has been tasked to review the processes that prevent fraud within a business
expense claim system. Which of the following stakeholders is MOST important to involve in
this review?",Information security manager,Quality assurance (QA) manager,Business department executive,Business process owner,,D,"The business process owner is the most important stakeholder to involve in the review of
the processes that prevent fraud within a business expense claim system. This is because
the business process owner is responsible for defining, implementing, and monitoring the
business rules and policies that govern the expense claim process. The business process
owner also has the authority and accountability to approve or reject expense claims, as
well as to investigate and report any suspicious or fraudulent activities. The business
process owner can provide valuable insights and feedback to the IS auditor on the
effectiveness and efficiency of the current processes, aswell as the potential risks and
controls that need to be addressed12.
The information security manager is not the most important stakeholder because their role
is mainly focused on ensuring the confidentiality, integrity, and availability of the information
systems and data that support the expense claim process. The information security
manager can help the IS auditor with assessing the technical aspects of the system, such

as access controls, encryption, logging, and backup, but they may not have sufficient
knowledge or authority over the business rules and policies that prevent fraud1.
The quality assurance (QA) manager is not the most important stakeholder because their
role is mainly focused on ensuring the quality and reliability of the software applications and
systems that support the expense claim process. The QA manager can help the IS auditor
with testing and verifying the functionality and performanceof the system, but they may not
have sufficient knowledge or authority over the business rules and policies that prevent
fraud1.
The business department executive is not the most important stakeholder because their
role is mainly focused on overseeing the strategic objectives and financial performance of
the business department that uses the expense claim system. The business department
executive can help the IS auditor with understanding the business context and needs of the
expense claim process, but they may not have sufficient knowledge or authority over the
operational details and controls that prevent fraud",True
565,206,single,"Which of the following is the BEST source of information to determine the required level of
data protection on a file server?",Data classification policy and procedures,Access rights of similar file servers,Previous data breach incident reports,Acceptable use policy and privacy statements,,A,"The best source of information to determine the required level of data protection on a file
server is the data classification policy and procedures, which define the criteria and
methods for classifying data according to its sensitivity, value, and criticality, and specify
the appropriate security measures and controls for each data category. Data classification
policy and procedures help to ensure that data is protected in proportion to its importance
and risk exposure. Access rights of similar file servers, previous data breach incident
reports,and acceptable use policy and privacy statements are not sufficient or reliable
sources of information to determine the required level of data protection on a file server, as
they do not provide clear and consistent guidance on how to classify and
protectdata. References: CISA Review Manual (Digital Version), Chapter 5: Protection of

Information Assets, Section 5.1: Information Asset Security Framework",True
566,206,single,"Which of the following concerns is MOST effectively addressed by implementing an IT
framework for alignment between IT and business objectives?",Inaccurate business impact analysis (BIA),Inadequate IT change management practices,Lack of a benchmark analysis,Inadequate IT portfolio management,,D,"An IT framework for alignment between IT and business objectives is a set of principles,
guidelines, and practices that help an organization to ensure that its IT investments support
its strategic goals, deliver value, manage risks, and optimize resources. One of the benefits
of implementing such a framework is that it enables an effective IT portfolio management,
which is the process of selecting, prioritizing, monitoring, and evaluating the IT projects and
services that comprise the IT portfolio. An IT portfolio is a collection of IT assets, such as
applications, infrastructure, data, and capabilities, that are aligned with the business needs
and objectives. An IT portfolio management helps an organization to achieve the following
outcomes:
Align the IT portfolio with the business strategy and vision
Balance the IT portfolio among different types of investments, such as innovation,
growth, maintenance, and compliance
Optimize the IT portfolio performance, value, and risk
Enhance the IT portfolio decision-making and governance
Improve the IT portfolio communication and transparency
Therefore, an inadequate IT portfolio management is a major concern that can be
addressed by implementing an IT framework for alignment between IT and business
objectives. An inadequate IT portfolio management can result in the following issues:
Misalignment of the IT portfolio with the business needs and expectations
Imbalance of the IT portfolio among competing demands and priorities
Suboptimal use of the IT resources and capabilities
Lack of visibility and accountability of the IT portfolio outcomes and impacts
Poor communication and collaboration among the IT portfolio stakeholders
The other possible options are:
Inaccurate business impact analysis (BIA): A BIA is a process of identifying and
assessing the potential effects of a disruption or disaster on the critical business

functions and processes. A BIA helps an organization to determine the recovery
priorities, objectives, and strategies for its business continuity plan. A BIA is not
directly related to an IT framework for alignment between IT and business
objectives, although it may use some inputs from the IT portfolio management.
Therefore, an inaccurate BIA is not a concern that can be effectively addressed by
implementing an IT framework for alignment between IT and business objectives.
Inadequate IT change management practices: IT change management is a
process of controlling and managing the changes to the IT environment, such as
hardware, software, configuration, or documentation. IT change management
helps an organization to minimize the risks and disruptions caused by the
changes, ensure the quality and consistency of the changes, and align the
changes with the business requirements. IT change management is not directly
related to an IT framework for alignment between IT and business objectives,
although it may support some aspects of the IT portfolio management. Therefore,
inadequate IT change management practices are not a concern that can be
effectively addressed by implementing an IT framework for alignment between IT
and business objectives.
Lack of a benchmark analysis: A benchmark analysis is a process of comparing an
organization’s performance, processes, or practices with those of other
organizations or industry standards. A benchmark analysis helps an organization
to identify its strengths and weaknesses, set realistic goals and targets, and
implement best practices for improvement. A benchmark analysis is not directly
related to an IT framework for alignment between IT and business objectives,
although it may provide some insights for the IT portfolio management. Therefore,
lack of a benchmark analysis is not a concern that can be effectively addressed by
implementing an IT framework for alignment between IT and business
objectives. References: 1: What is Portfolio Management? | Smartsheet 2: What Is
Portfolio Management? - Definition from Techopedia 3: What Is Project Portfolio
Management (PPM)? |ProjectManager.com 4: What Is Business Impact
Analysis? | Smartsheet 5: What Is Change Management? - Definition from
Techopedia 6: Benchmarking - Wikipedia",True
567,206,single,"Which of the following methods will BEST reduce the risk associated with the transition to a
new system using technologies that are not compatible with the old system?",Parallel changeover,Modular changeover,Phased operation,Pilot operation,,A,"The best method to reduce the risk associated with the transition to a new system using
technologies that are not compatible with the old system is parallel changeover. Parallel
changeover is a method of system conversion that involves running both the old and the
new systems simultaneously for a period of time, until the new system is verified to be
working correctly and completely. Parallel changeover can help reduce the risk of data
loss, errors, or disruptions that may occur due to the incompatibility of the technologies, as
well as provide a backup option in case of failure or malfunction of the new system. Parallel
changeover can also help users compare and validate the results of both systems, and
facilitate their training and adaptation to the new system.
Modular changeover is a method of system conversion that involves replacing one module
or component of the old system with a corresponding module or component of the new
system at a time, until the entire system is replaced. Modular changeover can help reduce
the complexity and scope of the conversion, as well as minimize the impact on the users
and operations. However, modular changeover may not be feasible or effective when the
technologies of the old and new systems are not compatible, as it may create integration or
interoperability issues among the modules.
Phased operation is a method of system conversion that involves implementing the new
system in stages or increments, each with a subset of functions or features, until the entire
system is operational. Phased operation can help reduce the risk and cost of implementing
a large and complex system, as well as allow for testing and feedback at each stage.
However, phased operation may not be suitable or efficient when the technologies of the
old and new systems are not compatible, as it may require extensive modifications or
adaptations to enable partial functionality.
Pilot operation is a method of system conversion that involves implementing the new
system in a limited or controlled environment, such as a department or a location, before
rolling it out to the entire organization. Pilot operation can help test and evaluate the
performance and usability of the new system, as well as identify and resolve any issues or
problems before full-scale implementation. However, pilot operation may not be relevant or
reliable when the technologies of the old and new systems are not compatible, as it may
not reflect the actual conditions or challenges of operating both systems concurrently.
References:
TRANSITION TO THE NEW SYSTEM - O’Reilly Media 1
10 Challenges To Think About When Upgrading From Legacy Systems - Forbes",True
568,206,single,"Backup procedures for an organization's critical data are considered to be which type of
control?",Directive,Corrective,Detective,Compensating,,B,"Backup procedures for an organization’s critical data are considered to be corrective
controls, as they are designed to restore normal operations after a disruption or failure.
Corrective controls aim to minimize the impact of an incident and prevent recurrence.
Directive, detective and compensating controls are not related to backup procedures.
Directive controls are intended to guide or instruct users to follow policies and procedures.
Detective controls are intended to identify and report incidents or violations. Compensating
controls are intended to mitigate the risk of a missing or ineffective primary
control. References: CISA Review Manual (Digital Version), Chapter 2, Section 2.11",True
